video_id,title,description,duration,definition,publishedAt,madeForKids,category_id,views
tX9mACQiR88,GUE TERSINGGUNG‼️KALIAN BECANDANYA GAK ASIK! - RIAN DMASIV SOMASI EBEL 🤣- PRAZ TEGUH,#prazteguh  #goyanglidah #podcast,0:51:19,hd,2023-10-12 04:20:00,False,24,200791
UIfoGltSW2E,SAAT INI CANCER GUE NYEBAR OM DED.. GUE HANYA AKAN CERITA DISINI.. - VIDI ALDIANO - Podcast,#vidialdiano #cancer #podcast,0:40:20,hd,2023-10-11 04:20:00,False,24,1262812
L2307YA52OA,"JESSICA WONGSO, RISET INI NETFLIX TIDAK PUNYA‼️ADA VIDEO DIA SEDANG... - Deddy Corbuzier Podcast",#jessicawongso #icecold #kopisianida #podcast,0:53:49,hd,2023-10-10 04:20:00,False,24,4388285
_7gc-D7zpbs,BREAKING NEWS‼️ DITEMUKAN ORANG TUA PENYEBAR VIDEO 80K3P KE ANAK2‼️🤣 - ORMAS - Corbuzier Podcast,#ormas #podcast #komedi,0:33:42,hd,2023-10-08 02:00:12,False,24,978204
-j_yu-qc9eY,ITU KUNTI NYA DUDUK DI PANGKUAN TERUS GOYANG OM‼️RIZKY FEBIAN - Podhub - Vidi Aldiano - Ummi,#ummiquary #vidialdiano #rizkyfebian  #podcast #podhub #kuntilanak,0:58:25,hd,2023-10-07 01:46:00,False,24,1403901
0r_4vtvcM2g,"KALIAN TAU POLISI PAKAI AHLI HIPNOTIS SAAT PERIKSA JESSICA⁉️CCTV REKAYASA, OTOPSI BOHONG‼️",#jessicawongso #ottohasibuan #mirnasalihin #kopisianida #icecold,0:50:19,hd,2023-10-06 04:20:00,False,24,6725422
QILAIwRh6oo,"GUE DITOLAK TV GARA GARA NGONDEX, EH ARTIS LAINNYA.. LEBIH NGONDEXZ‼️🤣- MANG OZA, EBEL, PRAZ TEGUH",#prazteguh #mamangosa #ebelcobra  #standup #rumahmakan #warungpadang #satepadang #goyanglidah,0:49:03,hd,2023-10-05 04:20:00,False,24,1065772
E-1ic9cz_YI,"MALAM ITU AYAH MEREBUT SENJATA, LALU... Kami tak Terima Keputusan Pemerintah! - Corbuzier Podcast",#g30spki #fakta #podcast,0:48:49,hd,2023-10-04 04:20:00,False,24,5088969
brA4tbgGkNQ,ADA ARTIS JUDI ONLINE JADI CALEG‼️TAU KALIAN⁉️ FAKTA GELAP TIKTOK DAN GACOR‼️- Ferry Irwandi Podcast,#rahasia #fakta #podcast,0:59:17,hd,2023-10-03 04:20:00,False,24,2336635
p9GROkK6_pM,"SAYA DI GUNA2, DI HINA, DIBUANG, KITA KETAWAIN‼️- KURNIA MEIGA - Deddy Corbuzier Podcast",#kurniameiga  #bola #kiper #podcast,0:40:52,hd,2023-10-02 04:20:00,False,24,2351715
OyfX-1dSuSg,"ECA AURA, TOLONG AKU DI SARANG PENYAMUN...‼️🤣 - Deddy Corbuzier Podcast",#ormas #podcast #komedi,0:35:37,hd,2023-10-01 01:46:00,False,24,1605318
M3jIteZtZAo,WIKA SALIM MENGGANGGU IMAN KU.. DAN IMAN MU❤️ - PODHUB - Vidi Aldiano - Ummi Quary,#ummiquary #vidialdiano #wikasalim #podcast #podhub,0:51:32,hd,2023-09-30 01:46:00,False,24,1405378
L-BGaOKbsY4,"PACAR GUE DI WHATSAPP NYOKAP, BUBAR LANGSUNG‼️😅 KISAH NYATA BUKAN INDOSIAR - FICO - PRAZ TEGUH",#closethedoor #deddycorbuzier #prazteguh #fico #mli #standup #rumahmakan #warungpadang #satepadang #goyanglidah,0:50:03,hd,2023-09-28 04:20:00,False,24,1013130
9GFu0k7eIb4,SJW DENGER YA‼️ SELF LOVE TAIK KUCING!!!! - SAYKOJI - PODCAST,#saykoji #inspirasi #podcast,1:11:38,hd,2023-09-27 04:20:00,False,24,793129
KTkh_zE538g,"DENNY CAKNAN, ISTRIKU DIHUJAT SEMUA ORANG‼️JADI GINI.. INI LOS DOL YA BRO🤣⁉️ -  Podcast",#dennycaknan #hamil #podcast,0:52:28,hd,2023-09-26 04:20:01,False,24,4039353
I4E8o067WCw,MAAF KAMI TAKUT BERI JUDUL‼️JEBLOK JURANG INI...🤣-  ORMAS -  Corbuzier Podcast,#marshelwidyanto #ormas #podcast #komedi,0:52:02,hd,2023-09-24 01:46:00,False,24,1376309
sNw4Hf9qeko,MINTA IJIN POLIGAMI DEPAN SABRINA... DIGAPLOK DI STUDIO‼️🤣- Vidi Aldiano - Nita Gunawan Podhub,#sabrina #vidialdiano #nitagunawan #podcast #podhub,0:56:59,hd,2023-09-23 01:46:00,False,24,1803980
4o94qCgiIWk,JAMAN DULU NGELAWAK BAHAYA BOS 😭‼️ PRAZ TEGUH - BANG MANDRA podcast,#prazteguh #mandra #Corbuzier #padang #warungmakan #podcast #betawi #sidoel #lucu,0:43:04,hd,2023-09-22 10:45:00,False,24,1210786
gLG4Bk_jd24,SAYA BONGKAR YA‼️ 30 JUTA SATU KURSI SEKOLAH NEGERI⁉️ NAH LOH!! Bima Arya - PODCAST,#pungli #sekolah #bimaarya #podcast,0:44:20,hd,2023-09-21 04:20:00,False,24,872275
zKRKgirpcxE,BARU KALI INI GUE PODCAST SAMA AYAM... AYAM‼️🤣 PUTRA Ayam Adi Sudirja Ngamuk di Podcast.,"#ayam #putra #podcast
Putra si ayam babi ini ngamuk di podcast gara gara jetleg.. Mau gue potong yang punya ngamuk. Hahaha",0:41:40,hd,2023-09-20 04:20:01,False,24,1382873
YczY0p4BpTQ,"KEJADIAN GAIB ITU MULAI SAAT ULAR ""JIN"" ITU GIGIT SAYA‼️PANJI PETUALANG - Deddy Corbuzier Podcast","#adzan #ruqyah #panji 
Panji PETUALANG mulai mengalami kejadian aneh.. Tak bisa mendengar Adzan, dadanya panas terbakar.. Setelah seekor ular aneh menggigit jarinya..",0:46:45,hd,2023-09-19 04:20:00,False,24,4898202
zR_YemCL39g,MEJA GUE ANCUR DI PUKUL‼️WAHAI DPR..😂 ‼️🤣- ORMAS - Deddy Corbuzier Podcast,#ormas #podcast #komedi,0:45:50,hd,2023-09-17 01:46:00,False,24,1803413
mwrpZcGBfYs,KELAKUAN ONAD DI RUMAH DIBONGKAR ISTRI‼️🤣 HEH CHONGZ‼️- Praz Teguh,#bebyleonardo #onad #prazteguh #closethedoor #bohlam #motor #lucu #musisi,0:49:39,hd,2023-09-16 01:46:00,False,24,3441595
EMZdc03JWEg,"ATURAN NO 3 BIKIN PUSING‼️🤣 TAPI HARUKA PINGIN⁉️😂. (Vidi Aldiano, ramengvrl - Corbuzier","#haruka #vidialdiano #pesta 
Indonesia saat ini ada pesta 0r9y, tempat tertutup dan ada syaratnya... Kita bongkar lokasinya.. Kita kasih tau isi dalamnya🤣 Podhub itu apa...? Enjoy the weekly new sensation of CLOSETHEDOOR",0:58:16,hd,2023-09-15 04:20:00,False,24,1854330
aRCLFQDLoVI,KISAH WANITA BERMATA 7‼️ Ada yang LASER!! Ghina Khansa,#mata #ajaib #podcast,0:53:35,hd,2023-09-13 04:20:00,False,24,1739142
Avpx9XrpHQg,INILAH DUTA NIKAH BEDA AGAMA‼️ RIGEN.. WAH KELEWATAN LOE GEN..😂 😂,"#ormas #podcast #komedi
Rigen.. Akhirnya mengaku bahwa dialah DUTA NIKAH BEDA AGAMA... Hal ini diakui olehnya pada saat.....😂",0:36:59,hd,2023-09-10 01:46:00,False,24,1727107
VhePPZd0VX0,"TAHUKAH KALIAN, KENAPA TUHAN MENCIPTAKAN KANGKUNG.... 😂 - Sony Wakwaw - Praz Teguh",#prazteguh #soniwakwaw #podcast,0:46:39,hd,2023-09-09 01:50:00,False,24,1228203
RJ1fLt8l-QE,"ANIES, GANJAR, PRABOWO, BERANI DENGAR INI⁉️NEKAT BEM UI‼️- Deddy Corbuzier Podcast","#anies #prabowo #ganjar 
BEM UI menantang kalian untuk debat gagasan dan wawasan dengan mereka dan lawan bacapres, jangan hanya PENCITRAAN tiktok doang kalian bisa kata ketua BEM UI..
Tgl 14 ini....",0:46:53,hd,2023-09-07 04:20:01,False,24,2425315
aHfQQsoQx-Q,INI KISAH NYATA! DESA INI LENYAP DALAM SATU MALAM‼️ RITUAL SEX ANEH MEREKA ADALAH.. RJL 5 - PODCAST,"#horrorstories #podcast #rjl5 #misteri
Kisah sebuah desa di Indonesia yang lenyap dalam satu malam, RJL 5 mencari fakta itu.. Dan ia menemukan sebuah bukti mengerikan.",0:53:20,hd,2023-09-06 04:27:05,False,24,3348688
Qbu8YW9zoIQ,BONGKAR FAKTA BARU‼️INI SINDIKAT!? KAMI DIMINTA IKHLAS‼️- BAYI YG TERTUKAR - Podcast,#bayi #tertukar #podcast,0:48:21,hd,2023-09-05 04:20:00,False,24,2545919
iXpIP5UFsP8,"DISENSOR GAK YAA.. GAK USAH DEH🤣🤣🤣 - Cing ABDEL, Temon dan Petaka‼️🤣",#ormas #podcast #komedi,0:38:56,hd,2023-09-03 02:30:30,False,24,1435443
4-AOLWxwCtA,ADA SETAN JADI J4BL4Y DI THAILAND🤣🤣 ANEH EMANG‼️ - Praz Teguh - Jirayut,#prazteguh #jirayut #dangdut,0:48:45,hd,2023-09-02 01:46:00,False,24,1542191
uwdclYrvBp8,POLISI PALING ANEH YANG GUE TAU‼️🤣- HEBAT LOE BRO‼️🤣🤣 - Purnomo Belajar Baik - Podcast,#polisi #lucu #podcast,0:56:49,hd,2023-08-31 04:30:17,False,24,3878554
PNbkMfg827w,"UANG BERKUASA‼️KPK, POLISI TAKUT⁉️INI PEJABAT KEBAL⁉️MAU TAU HARTA DIA⁉️Kamaruddin Bicara!",#kamaruddinsimanjuntak #korupsi #podcast,1:05:04,hd,2023-08-30 04:20:00,False,24,3315945
PGrEmsCQKE8,"Gue harus kuat buat anak istri, Barang gue jual2in.. GUE HARUS OK! - BABE CABITA- Podcast",#babecabita #sakit #podcast,0:59:24,hd,2023-08-29 04:20:00,False,24,1747791
o1glnT4PAhQ,LOH GAK BAHAYA TAH⁉️🤣 Dari Bu Mega sampai Pak Coki.. - ORMAS - Deddy Corbuzier Podcast.,#ormas #coki #podcast,0:36:54,hd,2023-08-26 01:46:00,False,24,1775907
TpWGtIKJpPQ,"SAYA DIMINTA KETEMU HABIB UMAR‼️ADA APA, APA AMAL IBADAH SAYA⁉️- Habib Jafar - Podcast",#habibumar #habibjafar #podcast,1:26:13,hd,2023-08-24 04:20:00,False,24,4863612
A8aiKhkiXZM,ECA AURA.. Aku tertawa tapi Hati kadang Menangis..🥹😭- Kisah dibalik tawa - Deddy Corbuzier Podcast,#ecaaura #sedih #podcast,0:40:08,hd,2023-08-23 04:20:00,False,24,2362007
TOxF2YkpDpo,Tugas Saya Masuk Sarang Ter0r1s Internasional‼️Dipengg4l depan saya itu biasa..,#cantik #agenrahasia #seram #podcast,1:07:44,hd,2023-08-22 04:20:00,False,24,4935396
A8YAojVJ810,MasyaAllah it's a Blessed day #habibomar bin Hafidz,,0:00:10,hd,2023-08-21 09:05:27,False,24,3474200
-gVsrFIgx5A,WOI!! KAMI MASYARAKAT MINTA TANGGUNG JAWAB‼️🤣🤣🤣 - ORMAS - INDRO - PODCAST,#ormas #podcast #komedi,0:56:21,hd,2023-08-20 03:45:00,False,24,2614660
nUmRd3_lkhM,"BOKAP GUE EMANG ""GILA!"" BANGGA GUE MENANG TINJU DRPD LULUS KULIAH! El Rumi - Praz Teguh",#tinju #artis #podcast,0:41:24,hd,2023-08-19 01:46:00,False,24,1780749
cqd6SGKWAQw,YES!! AKHIRNYA INDRO KETEMU BONENG SETELAH WARKOP‼️- Deddy Corbuzier Podcast,#indro #warkop #boneng,1:05:16,hd,2023-08-17 03:00:30,False,24,4403697
gx0QFAOnVGA,INI CIRI ORANG MAU KERASUKAN SETAN🤣‼️AWALNYA... - USTAD FAIZAR - Deddy Corbuzier Podcast,#ustad #faizar #jin,1:07:01,hd,2023-08-16 04:20:00,False,24,3974504
W_Ji-p_S6lE,ISLAM PUN GUE KAFIRKAN‼️ BENDERA I5IIS GUE TARUH KAMAR‼️ - SEREM GUE DULU DED‼️-Dery kasisolusi,#ilmu #agama #podcast,1:05:43,hd,2023-08-15 04:20:00,False,24,2742188
KUmOddh_97o,Gimana Coba!?!🤣 Tiap seminar kaya gini nasib saya... 😂,,0:00:16,hd,2023-08-13 11:18:47,False,24,1072041
gEocfcT-010,KENAPA SEMUA ARTIS CALEG TA111KZ⁉️🤣🤣 KAMI DEMO!!! -ORMAS - Podcast,#sambo #caleg #ormas,0:30:35,hd,2023-08-13 01:46:00,False,24,3920014
cifBQOU71EY,"GUE KETEMBAK, DIA GUE TEMBAK‼️ JADI TEMBAK2AN🤣 - Jacklyn Chopper - Praz Teguh",#prazteguh #bangjack #polisi,0:46:17,hd,2023-08-12 01:46:00,False,24,837881
5EDZUMKJeSs,KAMI 30 PESERTA DITELANJ4NGI‼️MISS UNIVERSE INDONESIA WTH‼️- PODCAST,,0:52:09,hd,2023-08-10 04:20:00,False,24,7255487
